hp_idx,k,distribution,cell_split_seed,bin_size,isi_dist_bins_start,isi_dist_bins_stop,isi_dist_bins_step,fr_dist_bins_start,fr_dist_bins_stop,fr_dist_bins_step,lr,n_hiddens,dropout_p,weight_decay,train_f1,test_f1,val_f1
1000,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.1,0.0,0.5607366758796575,0.4275624124408226,0.3786435832206636
1001,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.2,0.0,0.5260946160037815,0.4276206359345594,0.3737348182895741
1002,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.3,0.0,0.5037283454929681,0.4178735758033468,0.3655098519790128
1003,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.0,1e-06,0.6026962448867488,0.4294455329061247,0.372812121966377
1004,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.0,1e-05,0.5935701035478196,0.4314557333187353,0.3792128045917427
1005,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.0,0.0001,0.5792996000141336,0.421779214391432,0.3739325925850569
1006,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.1,1e-05,0.5526096622353495,0.4196011826903704,0.3778120040178847
1007,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.2,1e-05,0.5233541832074888,0.4189249063740498,0.3763856305377759
1008,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.3,1e-05,0.4985366782528433,0.4130591436826947,0.3657713937529603
1009,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.2,1e-06,0.523975629434388,0.4233537601499,0.3795340193337365
1010,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.2,1e-05,0.5184992140466127,0.4220498337450196,0.3714539602896198
1011,17celltypes,ISI,1234,0.2,0,0.401,0.0005,0,21,1,0.001,"600,300,150,75,38",0.2,0.0001,0.5157245086151268,0.4180870173913085,0.3795978427423124
